,Xiong_PBMC_N_1,Xiong_PBMC_N_2,Xiong_PBMC_N_3,Xiong_PBMC_COVID_1,Xiong_PBMC_COVID_2,Xiong_PBMC_COVID_3
SIPA1,6305.160108,7342.016118,7913.268996,4984.338016,5677.120143,4999.650171
FTH1P3,3.251423323,11.28961986,14.86757914,3.128900199,3.419951893,8.293258578
ERV3-1,2491.24055,468.5192244,821.4337474,1184.810209,878.2436462,749.3551501
SYNJ2BP,931.2076398,1398.03126,880.9040639,709.2173784,913.1271555,773.6425502
ARL2,303.0326537,489.2168608,354.9634519,322.2767205,437.7538423,311.5895723
FIRRE,22.75996326,69.6193225,26.01826349,22.94526812,50.61528802,47.39004902
TTLL13P,9.754269969,13.17122317,0,1.042966733,11.62783644,7.700882965
EIF4A1P8,0.650284665,1.881603311,3.716894784,0,0,1.184751225
NT5C3AP1,6.502846646,0,3.716894784,33.37493545,2.051971136,18.36364399
PPIAP16,0,11.28961986,9.292236961,0,0,0
GBP7,1.300569329,3.763206621,1.858447392,0,2.735961515,0
IMPDH1P5,13.00569329,9.408016553,9.292236961,9.386700596,2.051971136,4.146629289
AL731556.1,3.251423323,0,0,2.085933466,0.683990379,0
RBMXL1,926.0053624,771.4573574,752.6711938,1113.888471,899.447348,719.7363694
SRA1,1109.385638,728.1804812,773.1141152,1675.004573,1177.147442,1046.135332
STIMATE,1891.678089,873.0639362,1427.287597,2297.655713,1597.117534,2098.786796
AL359504.1,1.300569329,0,3.716894784,0,1.367980757,1.777126838
AC007000.2,39.01707988,35.7504629,33.45205306,9.386700596,15.04778833,31.98828309
DNAJC9,561.8459502,762.0493408,611.429192,417.1866932,596.4396102,457.9063486
RPLP0P6,81.93586774,267.1876701,120.7990805,79.2654717,132.0101431,99.51910294
AC068050.1,14.95654729,0,13.00913175,4.171866932,11.62783644,62.19943933
C8orf82,242.5561799,476.0456376,423.7260054,514.1825993,458.2735537,434.8036997
AL390039.1,1.300569329,0,1.858447392,1.042966733,0.683990379,1.184751225
CPLX3,3.901707988,3.763206621,5.575342177,0,0,2.369502451
VDAC1,1409.817153,1153.422829,1434.721387,3338.536512,2889.85935,3364.69348
ZBTB9,180.7791368,278.47729,126.3744227,168.9606107,175.7855273,138.0235178
AL807752.1,5.202277317,11.28961986,5.575342177,4.171866932,5.471923029,5.923756127
PPIAP42,6.502846646,3.763206621,9.292236961,4.171866932,7.523894165,2.961878064
TMX2,833.6649401,681.1403985,700.6346669,1212.97031,1128.584125,1262.352431
AL049873.1,5.852561982,15.05282649,11.15068435,2.085933466,4.103942272,5.331380514
SLX1A-SULT1A3,1495.004444,1719.785426,1468.17344,1210.884377,1755.119312,1605.930286
U73169.1,19.50853994,3.763206621,16.72602653,5.214833664,6.155913408,7.108507353
SLC25A14P1,5.852561982,7.526413243,0,1.042966733,4.103942272,3.554253676
RPL7AP50,2.601138659,9.408016553,0,2.085933466,4.103942272,1.777126838
FAM220CP,3.251423323,1.881603311,1.858447392,2.085933466,2.735961515,1.777126838
RPL11P3,48.12106518,24.46084304,29.73515828,75.09360477,37.61947083,65.1613174
HEXA,2950.991808,2184.541444,3096.173355,3699.403002,4157.977512,5023.345196
NDUFS3,1182.867805,788.3917872,949.6666174,1450.766725,1439.115757,1530.106208
RPSAP54,1.950853994,30.10565297,7.433789569,4.171866932,7.523894165,2.961878064
LEPROT,2378.091019,1066.869077,2410.406268,5175.200929,2520.504545,3263.39725
LBH,3779.454471,6984.511489,4848.689246,1258.860847,3041.021224,1573.942003
