"","PPEE","PPDE"
"CSDE1",0.873939594062901,0.126060405937099
"UBE3C",NA,NA
"REV3L",0.976609081024073,0.0233909189759267
"TENM1",0.9117876695097,0.0882123304903004
"MASP2",0.139083863851024,0.860916136148976
"FAM76A",NA,NA
"TRAF3IP3",0.874545566200912,0.125454433799088
"POMT2",0.965809256207976,0.0341907437920241
"VTA1",0.186805106110807,0.813194893889193
"MLXIPL",0.999999999999991,9.087265705447e-15
"BAZ1B",0.98745822285212,0.0125417771478795
"RANBP9",0.877725449740482,0.122274550259518
"ETV7",0.647022617923136,0.352977382076864
"SPRTN",0.958784132173791,0.0412158678262087
"EEF1AKNMT",0.000688659750455844,0.999311340249544
"DYRK4",0.925908010793644,0.0740919892063559
"ZNF207",0.991685328328554,0.00831467167144592
"UQCRC1",1.01848781265401e-05,0.999989815121873
"STARD3NL",0.100038659029414,0.899961340970586
"CD9",0.969371656786422,0.0306283432135776
"HHATL",0.915369547593111,0.0846304524068895
"NCAPD2",0.767924666032747,0.232075333967253
"IFFO1",0.984453842392789,0.0155461576072108
"GIPR",0.324395892743794,0.675604107256206
"PHF7",0.971323152937579,0.0286768470624207
"SEMA3G",4.24631401668707e-05,0.999957536859833
"NISCH",0.97368982015517,0.0263101798448297
"STAB1",0.0559540105364311,0.944045989463569
"FUZ",0.963588784573233,0.0364112154267672
"SLC6A13",0.999999999999999,8.10717391815105e-16
"IDS",0.562749275785311,0.437250724214689
"PRSS3",0.999999999992754,7.24595392701077e-12
"ZNF200",0.658318056664972,0.341681943335028
"CD4",0.965399221698678,0.0346007783013223
"LRRC23",0.762202653328484,0.237797346671516
"BTK",0.0261460891281591,0.973853910871841
"HFE",0.0230825006906007,0.976917499309399
"SCMH1",0.960664696534625,0.0393353034653746
"FYN",0.000211967074188357,0.999788032925812
"HIVEP2",2.08500864494754e-05,0.999979149913551
"ELOA",0.962423872254359,0.0375761277456408
"LYPLA2",0.976254761153071,0.0237452388469293
"CLCN6",0.000400844507250198,0.99959915549275
"MRC2",0.947681138866292,0.0523188611337077
"NME1-NME2",0.509718148618397,0.490281851381603
"SLC6A7",0.949283267033127,0.050716732966873
"TSPAN9",0.932132558664235,0.067867441335765
"BTBD7",0.971536169881259,0.0284638301187409
"APBA3",0.923779534313145,0.0762204656868549
"MKS1",0.951816529185289,0.0481834708147109
"ABHD5",0.981654441053171,0.0183455589468289
"ANOS1",0.857996469230536,0.142003530769464
"AKAP8L",0.986016965323424,0.0139830346765758
"MBTD1",0.97990181550198,0.0200981844980199
"UTP18",0.975354237433252,0.0246457625667479
"RNF216",0.0278572293058429,0.972142770694157
"TTC19",0.888559477504415,0.111440522495586
"PTBP1",0.000535499958415508,0.999464500041584
"DPF1",0.630368823313116,0.369631176686884
"SYT7",0.999999999999998,1.66795719238518e-15
"LARS2",0.208333741662528,0.791666258337472
"PIK3C2A",0.667555038377126,0.332444961622874
"PLAUR",0.985868883866172,0.0141311161338278
"ANLN",1.11022302462516e-16,1
"WIZ",0.979371689056889,0.0206283109431106
"RABGAP1",0.552927295941041,0.447072704058959
"DCN",0.912758509623651,0.0872414903763492
"QPCTL",0.892142266464037,0.107857733535963
"PPP5C",0.94479146497979,0.0552085350202103
"CEP68",0.0294180325963136,0.970581967403686
"MAP4K3",0.999999999984474,1.55263360126494e-11
"ZBTB32",0.000226928063820853,0.999773071936179
"TYROBP",0.968539832200456,0.0314601677995437
"TMEM159",0.863075075529506,0.136924924470494
"BRCA1",3.73034936274053e-13,0.999999999999627
"ERCC1",NA,NA
"CD22",0.977439896098721,0.0225601039012788
"SEMA3B",0.790416303076558,0.209583696923442
"MBTPS2",2.34701147405758e-13,0.999999999999765
"PRICKLE3",0.0226559686737063,0.977344031326294
"LTF",0.0165703115493145,0.983429688450685
"EXTL3",0.97815895023018,0.0218410497698198
"ELOVL5",0.987397966283736,0.012602033716264
"ALOX5",0.53434149914737,0.46565850085263
"KDM5D",0.987607755002984,0.0123922449970156
"CALCOCO1",0.988901922391625,0.0110980776083747
"UBR7",0.357666553488001,0.642333446511999
"MAP4K5",0.981061346393626,0.0189386536063742
"EHD3",0.861979967251893,0.138020032748107
"PSMC4",NA,NA
"MAN2B2",0.90453065276634,0.0954693472336601
"CLDN11",0.999999999999994,6.00650120309314e-15
"SLC25A39",0.961974291753218,0.038025708246782
"MVP",0.990658830187154,0.00934116981284583
"NUB1",0.980574689649148,0.0194253103508521
"PGM3",0.973704489921124,0.026295510078876
"RWDD2A",0.901690024845279,0.0983099751547209
"CLK1",0.0518844766296576,0.948115523370342
"POLR3B",1,1.71846077424809e-16
"ANGEL1",0.969619271932806,0.0303807280671941
"RNF14",0.919910035361233,0.0800899646387669
"DNASE1L1",0.00360803694135126,0.996391963058649
"DDX11",0.912986184536945,0.0870138154630548
"HEBP1",0.43640570080574,0.56359429919426
"GPRC5A",0.668777443177701,0.331222556822299
"MAMLD1",0.917660619962766,0.082339380037234
"CD6",0.348840596144665,0.651159403855335
"TACC3",0.668323863754702,0.331676136245298
"UFL1",0.928521639934914,0.071478360065086
"POLA2",0.182511671230773,0.817488328769227
"ZC3H3",0.962368166388406,0.0376318336115943
"CAPN1",0.395925322693224,0.604074677306776
"ACPP",0.463355708317385,0.536644291682615
"MDH1",6.16681927745333e-10,0.999999999383318
"SLC30A9",NA,NA
"MTMR11",0.935500385550895,0.0644996144491046
"COX15",1.88719817550975e-10,0.99999999981128
"CCDC88C",0.14128570327832,0.85871429672168
"YAF2",0.673739146142792,0.326260853857208
"ZMYND11",0.00035795153819751,0.999642048461802
"WAS",0.989704464361093,0.0102955356389073
"DPEP1",NA,NA
"BID",0.84488064431879,0.15511935568121
"MATR3",0.9915605265848,0.00843947341519957
"NPC1L1",0.999999999999999,8.14997058401278e-16
"XYLT2",0.973564967013803,0.0264350329861967
"RGPD5",0.755980264058451,0.244019735941549
"NUDCD3",0.912625138025076,0.0873748619749235
"CHDH",0.908118294395852,0.0918817056041477
"GLT8D1",0.934611865025598,0.065388134974402
"ATP2C1",NA,NA
"IGF1",0.00706747896050008,0.9929325210395
"SLC38A5",0.78183478520305,0.21816521479695
"RALBP1",0.986930993617875,0.0130690063821249
"RUFY3",0.00121009136839789,0.998789908631602
"SLC11A1",0.946711682149517,0.0532883178504826
"WWTR1",0.417333030532114,0.582666969467886
"AGPS",0.242561986090418,0.757438013909582
"CXorf56",NA,NA
"ATP1A2",0.718844048303661,0.281155951696339
"TTC27",0.971590524972778,0.0284094750272218
"ZNF582",0.956668147815923,0.0433318521840772
"VSIG2",0.912856850398845,0.0871431496011547
"PHLDB1",0.869929803831528,0.130070196168472
"MARCO",0.012959878340628,0.987040121659372
"CYP24A1",0.996649554567185,0.00335044543281499
"PRDM11",1.41317711532807e-07,0.999999858682288
"CD74",0.990237890945247,0.00976210905475339
"HGF",1.05189320276367e-06,0.999998948106797
"ZRANB1",0.977779381371938,0.0222206186280622
"NCDN",0.0640183663898858,0.935981633610114
"ADGRA2",0.602837044269628,0.397162955730372
"ZFP64",0.971562111765787,0.0284378882342132
"MNAT1",0.969102875253289,0.0308971247467111
"SAMD4A",0.285775943293486,0.714224056706514
"RUNX3",4.84658901900303e-09,0.999999995153411
"MRE11",0.976599533855445,0.0234004661445551
"PLEKHB1",0.815293379232883,0.184706620767117
"SERPINB1",0.500933760493052,0.499066239506948
"SLC7A9",0.899478592781697,0.100521407218303
"SPAST",0.979591348170165,0.0204086518298346
"OSBPL5",0.355530984144682,0.644469015855318
"AQR",0.712957498228876,0.287042501771124
"CPS1",0.85542494779848,0.14457505220152
"FHL1",0.000102086164386672,0.999897913835613
"RTF2",0.869292125131787,0.130707874868213
"NLRP2",0.952231682143409,0.0477683178565911
"SLC45A4",0.823976452163256,0.176023547836744
"RNF10",0.862788398130185,0.137211601869815
"ZNF839",0.742912891380294,0.257087108619706
"ZDHHC6",0.90961166968191,0.0903883303180904
"GRAMD1B",0.419476298845089,0.580523701154911
"RNH1",8.34070568167533e-09,0.999999991659294
"NDUFS1",0.000310220837749897,0.99968977916225
"RB1CC1",0.985942186493008,0.0140578135069916
"ERP44",0.00182663883729794,0.998173361162702
"ALAS1",0.000235984539434742,0.999764015460565
"BIRC3",0.96265853150985,0.0373414684901501
"AKAP11",0.974727754987636,0.0252722450123635
"GLRX2",0.999999999429362,5.70638081718952e-10
"SNAPC1",0.998239988837563,0.0017600111624372
"DERA",0.0692626316699605,0.93073736833004
"STRAP",0.970887958513643,0.0291120414863573
"ABCC2",0.816921481539466,0.183078518460534
"DEF6",0.805848614382647,0.194151385617353
"PLEKHO1",0.983541617358595,0.0164583826414049
"GCLM",0.955974709221009,0.0440252907789911
"UBR2",0.988890719350428,0.011109280649572
"EHD2",0.871250787487405,0.128749212512595
"DEPDC1",6.76649192232759e-09,0.999999993233508
"CCDC28A",0.429033028853311,0.570966971146689
"RRAGD",0.866393631327356,0.133606368672644
"HSF2",0.918303207916891,0.0816967920831093
"PHF20",NA,NA
"HSD17B6",0.802154545997927,0.197845454002073
"NR1H3",0.412705111371427,0.587294888628573
"TYMP",0.795800684865285,0.204199315134715
"NCAPH2",0.931167692062741,0.0688323079372591
"TOMM34",0.0510007384923158,0.948999261507684
"SEC63",0.885622777992238,0.114377222007762
"KPNA6",0.977153034422224,0.0228469655777762
"VIM",0.0447372024161684,0.955262797583832
"RTEL1-TNFRSF6B",0.972697353504479,0.0273026464955213
"FAS",0.978012762855889,0.0219872371441113
"RNASET2",0.989969881448066,0.0100301185519345
"CD44",0.988791984017084,0.011208015982916
"KCNG1",0.602621106493336,0.397378893506664
"AGPAT4",0.96728949490031,0.0327105050996899
"SLAMF7",0.981506372155221,0.0184936278447787
"BTN3A1",0.735496705665596,0.264503294334404
"MIPEP",0.728765751075093,0.271234248924907
"PRKCH",1.78899701660518e-05,0.999982110029834
"INSRR",0.90343395325383,0.0965660467461702
"IFNGR1",0.342100825411759,0.657899174588241
"B4GALT7",0.862041801603721,0.137958198396279
"SH2D2A",4.01564337337845e-11,0.999999999959844
"VRK2",0.00126851962689256,0.998731480373107
"TNFRSF1B",0.990643884810606,0.00935611518939449
"VEZT",0.416825668373449,0.583174331626551
"POU2F2",0.988051804779563,0.0119481952204368
"BRD9",0.771154086445865,0.228845913554135
"SNX1",0.013212541800398,0.986787458199602
"TBPL1",0.953641655904599,0.0463583440954012
"ARNTL2",9.94509212759453e-08,0.999999900549079
"BCLAF1",0.991753396301375,0.00824660369862511
"SLC39A9",0.00290019439162859,0.997099805608371
"ANK1",0.571524597611184,0.428475402388816
"TFB1M",0.966118729317206,0.0338812706827938
"RABEP1",0.91941550631233,0.0805844936876699
"HMGB3",0.000858143773879938,0.99914185622612
"NUP160",0.926491461349522,0.0735085386504784
"BAK1",0.161692611993621,0.838307388006379
"IKZF2",0,1
"GRN",5.19697618273085e-09,0.999999994803024
"FAM13B",0.983166239487443,0.0168337605125574
"ARHGAP31",0.0109147206318513,0.989085279368149
"CENPQ",0.887073310200214,0.112926689799786
"SARS1",0.909808557866926,0.0901914421330744
"RANBP3",0.985833116589309,0.0141668834106905
"ARID4A",1.34072807247421e-05,0.999986592719275
"EIPR1",0.831002149005087,0.168997850994913
"PNPLA6",0.974871003698272,0.0251289963017284
"IFT88",0.954285690945991,0.0457143090540087
"ALG1",3.30845880358588e-07,0.99999966915412
"ZCCHC8",0.913566172376629,0.0864338276233706
"ABCF2",0.905752608779553,0.0942473912204468
"CHPF2",NA,NA
"LRRC7",0.797162731068968,0.202837268931032
"FUT8",0.572778899968902,0.427221100031098
"UBA6",0.950511858012725,0.0494881419872748
"GAB2",0.982238846946902,0.0177611530530984
"ATP6V0A1",1.05952288009803e-06,0.99999894047712
"PIAS1",0.934901588623483,0.0650984113765165
"SLC4A7",2.78434451050913e-07,0.999999721565549
"APBA2",0.962817477177314,0.0371825228226863
"MAP2K3",0.963624980864975,0.0363750191350249
"EFCAB1",0.999999999999116,8.84198680899264e-13
"TMSB10",0.957837361689522,0.0421626383104784
"ASTE1",1.35175077797811e-08,0.999999986482492
"RNF19A",0.98582380745899,0.0141761925410104
"PEX3",0.955787048180032,0.0442129518199679
"GABARAPL2",0.931611169059919,0.0683888309400805
"SH3YL1",0.934506003089421,0.0654939969105788
"FAM136A",0.887467744640755,0.112532255359245
"VCL",0.989680977042746,0.010319022957254
"DEPDC1B",0,1
"DAPK2",0.841795866747629,0.158204133252371
"NSMAF",NA,NA
"ADSS2",NA,NA
"STAP1",0.931356907500746,0.0686430924992537
"TIMP2",0.000514936481624595,0.999485063518375
"RFC1",0.980457744866013,0.0195422551339868
"TBC1D23",0.922459771634676,0.0775402283653242
"CUL3",0.973928061808149,0.0260719381918506
"MYOM2",0.907496030096853,0.0925039699031472
"CYP46A1",0.000171839985611322,0.999828160014389
"AC118549.1",0.0971415965598338,0.902858403440166
"SLC18A1",0.934702355698847,0.0652976443011527
"USP2",0.440642202374584,0.559357797625416
"CASR",0.999999999999995,4.64198145862195e-15
"TUBG2",0.993901128152601,0.00609887184739893
"RPL26L1",1.66594874184689e-06,0.999998334051258
"FLT4",0.932319479536703,0.0676805204632972
"NSUN2",0,1
"FBXO42",0.97865255712518,0.0213474428748198
"MFAP3",0.861962546469734,0.138037453530266
"MRI1",0.173051130726459,0.826948869273541
"METTL1",0.348180374381377,0.651819625618623
"AGA",0.82800370585721,0.17199629414279
"PI4K2B",0.966270728460551,0.0337292715394492
"BOD1L1",1.07636110280307e-06,0.999998923638897
"MAT2B",0.941142693163673,0.0588573068363265
"EDC4",0.985391234235411,0.0146087657645892
"TRIO",0.52287572506893,0.47712427493107
"VCAN",0.0312784208126681,0.968721579187332
"CLEC16A",0.851346466008191,0.148653533991809
"MSR1",0.0604580158254757,0.939541984174524
"CDH1",0.865482136282378,0.134517863717622
"MTREX",0.968480173662619,0.031519826337381
"ZFYVE16",0.978873729523158,0.0211262704768419
"RIPOR1",0.948246305032086,0.051753694967914
"RAI14",0.0732371543882376,0.926762845611762
"SOX30",0.980370699835454,0.0196293001645459
"PNKP",0.658339316950771,0.341660683049229
"BEST2",0.999999999999999,7.68740198160124e-16
"PHLPP2",0.41015633871783,0.58984366128217
"SPDL1",0.949698397731713,0.0503016022682873
"STAU2",0.959386996522345,0.0406130034776545
"SLC66A1",0.984259983973874,0.0157400160261256
"CTNS",0.517318647753971,0.482681352246029
"RTN4R",0.457065956740638,0.542934043259362
"PHF23",0.916069601052338,0.0839303989476617
"INPP4A",0.00632615544398796,0.993673844556012
"RAB27B",0.968050353635181,0.0319496463648194
"PSMA4",0,1
"MYO16",0.999675027256039,0.000324972743961092
"LSG1",0.796529191917756,0.203470808082245
"PARP3",0.95458583129916,0.0454141687008403
"TNC",0.864366366212373,0.135633633787627
"THAP3",0.991527394120208,0.00847260587979199
"RIPOR3",0.588823073761522,0.411176926238478
"TDP1",0.767183611982567,0.232816388017433
"AIFM2",0.959464836805462,0.040535163194538
"AL049834.1",0.959213477283791,0.0407865227162093
"MED17",NA,NA
"RETSAT",2.65362176676831e-11,0.999999999973464
"CAPG",1.38953890556071e-05,0.999986104610944
"AP2S1",0.000333732886430904,0.999666267113569
"TG",0.919605827375641,0.0803941726243591
"ADAM28",0.960551691442096,0.0394483085579037
"DCUN1D1",0.938966683908423,0.0610333160915775
"JADE2",0.0772151876637515,0.922784812336249
"LCP2",0.990129268763046,0.00987073123695412
"TRIT1",0.964097750802283,0.0359022491977171
"ADRB1",0.81431363695975,0.18568636304025
"CUL7",0.306921273323574,0.693078726676426
"CTNNA1",0.0454543863634735,0.954545613636526
"PHKA2",0.364215866215364,0.635784133784636
"CNTLN",0.0410767778764816,0.958923222123518
"HSPA5",0.994253443631793,0.00574655636820658
"DSG2",0.999999999999968,3.21611426236187e-14
"GEMIN8",0.938553461372022,0.0614465386279783
"OFD1",0.16476348791712,0.83523651208288
"GPM6B",0.0678185957246231,0.932181404275377
"PREX2",0.194426274708666,0.805573725291334
"WDR37",0.981183734839481,0.0188162651605187
"YTHDC2",0.972368360975873,0.0276316390241274
"CTPS2",0.223735004919603,0.776264995080397
"ATP6V1H",0.160909338656855,0.839090661343145
"POLR2B",0.73403869784915,0.26596130215085
"FAM214A",0.297127964623151,0.702872035376849
"ARAP2",0.956012729363188,0.0439872706368118
"TPR",0.989249916546228,0.0107500834537724
"CP",0.999999999999993,7.30042308688014e-15
"KIAA0556",0.978045356714398,0.0219546432856022
"DTNBP1",0.971547442927214,0.028452557072786
"XK",0.847257421975071,0.152742578024929
"ANO2",0.524972213373636,0.475027786626364
"C12orf4",1.83519865970538e-13,0.999999999999816
"SCML1",0.95374141149494,0.04625858850506
"WWC3",0.984245724765573,0.0157542752344272
"ARHGAP6",0.932008698906626,0.0679913010933737
"FAM184B",0.729838951213544,0.270161048786456
"MAP4",0.949350311635835,0.0506496883641653
"GOPC",0.962097027683382,0.0379029723166179
"USP28",0.94097729111632,0.0590227088836803
"HDAC9",0.208205556245307,0.791794443754693
"TSPAN17",0.950415684351059,0.0495843156489407
"NOP16",NA,NA
"CC2D2A",0.927800351331827,0.0721996486681728
"RRM2B",0.97239516402065,0.0276048359793498
"ZNF800",0.86391498338289,0.13608501661711
"TNFRSF17",0.00510682052936307,0.994893179470637
"SNX29",0.000627295844282449,0.999372704155718
"LMO3",0.999999999999984,1.58900203524915e-14
"MRPS10",3.91023874862784e-05,0.999960897612514
"RSF1",0.206830985376649,0.793169014623351
"VPS13D",0.989462731703417,0.0105372682965832
"CELF2",0.993431911924741,0.00656808807525876
"FAM120A",0.597885116634008,0.402114883365992
"R3HDM1",NA,NA
"COL9A2",0.927143269703218,0.0728567302967818
"KITLG",0.448551076946886,0.551448923053114
"ERCC8",0.0018359182102452,0.998164081789755
"ADAMTS6",0.92706278741392,0.0729372125860799
"H6PD",0.962412008121358,0.0375879918786422
"VAMP3",0.511012809490816,0.488987190509184
"PER3",0,1
"UTS2",0.94121022640725,0.0587897735927504
"TNFRSF9",0.890329973506895,0.109670026493105
"LTBP1",0.944656713464167,0.0553432865358331
"RCN1",0.632137728818586,0.367862271181414
"ELN",0.999999999999999,9.05030168409541e-16
"RFC2",7.68049068788912e-10,0.999999999231951
"ARID1B",0.941257700417167,0.0587422995828332
"CLPTM1L",2.15069845377336e-07,0.999999784930155
"NEDD4L",0.190527875859948,0.809472124140052
"FOXP3",0.8338230197439,0.1661769802561
"PPP1R3F",0.893988579570776,0.106011420429224
"HEXB",0.000556083665081419,0.999443916334919
"PTCD2",0.961712867458673,0.0382871325413267
"NEXMIF",7.49050155235409e-10,0.99999999925095
